Resource_ID,Employee_Name,Designation,Department,Project_ID,Allocation_%,Billable,Employment_Type,Joining_Date,Experience_Years,Primary_Skill,Secondary_Skill,Certification,Location,Manager,Hourly_Rate,Monthly_Cost,Utilization_%,Resource_Status
RES0340,Employee 340,Developer,Operations,PRJ076,75,No,Contract,21-May-23,11,Oracle,AWS,CSM,UK,P Gupta,118.00,115069.00,68,Released
RES0341,Employee 341,PM,Sales,PRJ002,50,Yes,Contract,21-Aug-23,9,AWS,Salesforce,AZ-900,UK,P Gupta,118.00,115069.00,99,Active
RES0342,Employee 342,Tester,HR,PRJ051,100,No,Contract,17-Aug-22,3,Oracle,Dynamics 365,CSM,USA,K Rao,118.00,115069.00,97,Active
RES0343,Employee 343,PM,Operations,PRJ098,100,Yes,Permanent,04-Feb-23,10,Azure,Power BI,PMP,Singapore,S Verma,118.00,115069.00,90,Active
RES0344,Employee 344,PM,HR,PRJ056,100,No,Contract,26-Mar-25,6,Dynamics 365,Power BI,PMP,Singapore,K Rao,118.00,115069.00,91,Active
RES0345,Employee 345,Tester,Operations,PRJ094,50,Yes,Contract,03-Aug-23,19,Oracle,AWS,None,Australia,S Verma,118.00,115069.00,98,Active
RES0346,Employee 346,BA,Sales,PRJ016,100,No,Contract,25-Apr-23,16,SAP,Power BI,CSM,India,N Kumar,118.00,115069.00,70,Released
RES0347,Employee 347,Developer,Operations,PRJ068,75,Yes,Permanent,29-Aug-24,5,Dynamics 365,Azure,CSM,UK,K Rao,118.00,115069.00,87,Released
RES0348,Employee 348,Developer,IT,PRJ090,25,Yes,Contract,07-Jul-22,6,AWS,AWS,AZ-900,USA,V Mehta,118.00,115069.00,69,Active
RES0349,Employee 349,BA,Operations,PRJ002,25,No,Permanent,15-Aug-22,1,Dynamics 365,SAP,AZ-900,UK,P Gupta,118.00,115069.00,69,Active
RES0350,Employee 350,Architect,Sales,PRJ061,75,Yes,Contract,10-Apr-23,15,SAP,Power BI,PMP,USA,V Mehta,118.00,115069.00,67,Released
RES0351,Employee 351,Tester,Finance,PRJ089,25,Yes,Permanent,03-Sep-22,2,Salesforce,Oracle,CSM,Australia,N Kumar,118.00,115069.00,89,Active
RES0352,Employee 352,Architect,IT,PRJ078,50,No,Contract,07-Aug-23,12,SAP,Dynamics 365,PL-300,Singapore,R Singh,118.00,115069.00,63,Released
RES0353,Employee 353,Developer,Marketing,PRJ036,75,Yes,Contract,10-Mar-24,17,Power BI,Power BI,PL-300,Australia,K Rao,118.00,115069.00,70,Released
RES0354,Employee 354,Tester,Finance,PRJ058,75,No,Contract,05-Jan-23,6,SAP,Power BI,None,UK,P Gupta,118.00,115069.00,74,Active
RES0355,Employee 355,Tester,Operations,PRJ027,50,No,Permanent,22-Aug-23,20,Azure,Oracle,CSM,USA,P Gupta,118.00,115069.00,93,Released
RES0356,Employee 356,Tester,Finance,PRJ088,25,Yes,Contract,19-Sep-22,19,SAP,SAP,AZ-900,India,M Patel,118.00,115069.00,73,Active
RES0357,Employee 357,Architect,IT,PRJ087,100,No,Contract,01-Jun-22,6,Dynamics 365,Azure,CSM,Germany,R Singh,118.00,115069.00,78,Active
RES0358,Employee 358,BA,Sales,PRJ049,100,Yes,Permanent,06-Feb-24,16,Salesforce,Dynamics 365,PMP,UK,A Sharma,118.00,115069.00,87,Active
RES0359,Employee 359,Developer,Operations,PRJ045,100,Yes,Contract,06-Oct-22,19,Dynamics 365,Azure,PMP,Singapore,V Mehta,118.00,115069.00,61,Active
RES0360,Employee 360,PM,Sales,PRJ046,50,Yes,Permanent,03-Feb-23,15,Azure,Power BI,PL-300,India,P Gupta,118.00,115069.00,85,Active
RES0361,Employee 361,Tester,Finance,PRJ027,75,Yes,Contract,12-Jun-23,3,SAP,AWS,None,Germany,K Rao,118.00,115069.00,96,Released
RES0362,Employee 362,BA,HR,PRJ087,50,No,Contract,17-Dec-23,20,Salesforce,Oracle,AZ-900,Singapore,P Gupta,118.00,115069.00,68,Active
RES0363,Employee 363,PM,HR,PRJ069,75,Yes,Contract,22-Jul-22,5,Dynamics 365,Oracle,PMP,UK,N Kumar,118.00,115069.00,71,Released
RES0364,Employee 364,Architect,IT,PRJ039,100,No,Contract,22-Oct-22,18,AWS,AWS,PL-300,Germany,P Gupta,118.00,115069.00,72,Released
RES0365,Employee 365,PM,HR,PRJ068,50,Yes,Permanent,11-Apr-24,20,Salesforce,Azure,CSM,Australia,V Mehta,118.00,115069.00,67,Active
RES0366,Employee 366,PM,Sales,PRJ016,25,Yes,Permanent,10-Aug-24,11,SAP,Salesforce,CSM,Australia,K Rao,118.00,115069.00,74,Active
RES0367,Employee 367,BA,Marketing,PRJ019,25,No,Permanent,07-Apr-22,17,SAP,SAP,PMP,India,R Singh,118.00,115069.00,62,Released
RES0368,Employee 368,Tester,Operations,PRJ046,50,Yes,Permanent,15-Apr-25,7,SAP,Salesforce,CSM,UK,V Mehta,118.00,115069.00,73,Released
RES0369,Employee 369,Architect,Sales,PRJ086,25,No,Contract,06-Jan-22,11,Salesforce,Oracle,None,Australia,N Kumar,118.00,115069.00,95,Active
RES0370,Employee 370,PM,IT,PRJ049,100,No,Contract,16-Oct-24,4,Azure,AWS,PMP,Singapore,P Gupta,118.00,115069.00,71,Released
RES0371,Employee 371,PM,HR,PRJ058,25,No,Permanent,18-Mar-23,15,AWS,AWS,AZ-900,USA,R Singh,118.00,115069.00,67,Active
RES0372,Employee 372,Developer,Marketing,PRJ012,50,Yes,Permanent,25-Sep-22,11,Power BI,Salesforce,PL-300,Germany,K Rao,118.00,115069.00,79,Active
RES0373,Employee 373,Developer,HR,PRJ091,100,No,Permanent,10-Feb-25,11,AWS,Dynamics 365,AZ-900,UK,K Rao,118.00,115069.00,97,Released
RES0374,Employee 374,Architect,HR,PRJ085,100,Yes,Contract,02-Jul-22,17,SAP,Dynamics 365,PL-300,Germany,K Rao,118.00,115069.00,65,Active
RES0375,Employee 375,Architect,Finance,PRJ079,100,No,Permanent,23-Sep-22,18,SAP,Oracle,PL-300,Singapore,N Kumar,118.00,115069.00,64,Active
RES0376,Employee 376,PM,Operations,PRJ072,50,Yes,Permanent,08-Nov-23,18,Oracle,AWS,PMP,UK,A Sharma,118.00,115069.00,79,Released
RES0377,Employee 377,Architect,Sales,PRJ047,100,No,Permanent,06-Aug-23,10,Dynamics 365,Oracle,PL-300,Germany,K Rao,118.00,115069.00,95,Active
RES0378,Employee 378,Tester,IT,PRJ011,50,Yes,Contract,20-Nov-23,3,Azure,Power BI,PL-300,India,K Rao,118.00,115069.00,65,Active
RES0379,Employee 379,BA,Sales,PRJ020,75,No,Contract,16-Apr-22,8,Azure,Dynamics 365,PL-300,Singapore,S Verma,118.00,115069.00,88,Active
RES0380,Employee 380,PM,IT,PRJ038,50,Yes,Permanent,23-Jul-22,6,Salesforce,Dynamics 365,AZ-900,India,A Sharma,118.00,115069.00,67,Active
RES0381,Employee 381,BA,IT,PRJ015,50,No,Contract,24-Apr-22,18,AWS,SAP,CSM,Australia,M Patel,118.00,115069.00,75,Released
RES0382,Employee 382,BA,Marketing,PRJ031,75,No,Permanent,14-Feb-22,8,Power BI,AWS,CSM,Singapore,R Singh,118.00,115069.00,72,Released
RES0383,Employee 383,Developer,HR,PRJ065,100,Yes,Permanent,11-Jun-22,12,Dynamics 365,Dynamics 365,CSM,USA,N Kumar,118.00,115069.00,68,Released
RES0384,Employee 384,BA,Finance,PRJ052,100,No,Permanent,18-Dec-22,9,Power BI,Dynamics 365,None,Australia,P Gupta,118.00,115069.00,63,Released
RES0385,Employee 385,PM,Marketing,PRJ051,50,No,Contract,17-Dec-23,3,Salesforce,SAP,AZ-900,USA,N Kumar,118.00,115069.00,83,Released
RES0386,Employee 386,Developer,Marketing,PRJ046,50,Yes,Permanent,31-Mar-22,12,Salesforce,SAP,PL-300,Singapore,R Singh,118.00,115069.00,95,Released
RES0387,Employee 387,Architect,Marketing,PRJ082,75,No,Permanent,07-Dec-24,8,Salesforce,Salesforce,PMP,Germany,M Patel,118.00,115069.00,76,Active
RES0388,Employee 388,Tester,Finance,PRJ029,50,No,Permanent,09-Sep-22,3,AWS,Azure,CSM,UK,A Sharma,118.00,115069.00,67,Released
RES0389,Employee 389,Architect,Finance,PRJ100,100,No,Contract,23-Aug-22,15,Dynamics 365,Dynamics 365,CSM,USA,S Verma,118.00,115069.00,76,Active
RES0390,Employee 390,Tester,Operations,PRJ100,75,Yes,Contract,22-Feb-24,17,Azure,Dynamics 365,AZ-900,India,S Verma,118.00,115069.00,90,Active
RES0391,Employee 391,Tester,IT,PRJ008,100,Yes,Contract,25-Aug-22,20,Azure,Power BI,PL-300,Germany,S Verma,118.00,115069.00,68,Active
RES0392,Employee 392,Developer,Finance,PRJ096,25,Yes,Permanent,30-May-22,9,AWS,Azure,PMP,Australia,M Patel,118.00,115069.00,70,Active
RES0393,Employee 393,PM,Sales,PRJ069,100,No,Permanent,28-Aug-23,8,Power BI,Azure,None,UK,M Patel,118.00,115069.00,85,Released
RES0394,Employee 394,Tester,IT,PRJ082,25,Yes,Permanent,23-Aug-23,9,Azure,Dynamics 365,PMP,USA,M Patel,118.00,115069.00,77,Released
RES0395,Employee 395,PM,HR,PRJ096,75,No,Contract,29-Jan-25,5,Power BI,Azure,PMP,Singapore,S Verma,118.00,115069.00,93,Released
RES0396,Employee 396,Tester,IT,PRJ092,25,No,Permanent,14-Jan-24,20,Power BI,Oracle,AZ-900,USA,V Mehta,118.00,115069.00,84,Released
RES0397,Employee 397,BA,IT,PRJ087,25,Yes,Contract,26-Sep-24,2,Dynamics 365,AWS,PMP,Australia,A Sharma,118.00,115069.00,84,Active
RES0398,Employee 398,PM,Finance,PRJ091,50,No,Permanent,16-Jul-23,6,Oracle,AWS,PL-300,Germany,N Kumar,118.00,115069.00,65,Released
RES0399,Employee 399,Tester,IT,PRJ095,25,Yes,Contract,11-Sep-23,2,SAP,Azure,None,Singapore,V Mehta,118.00,115069.00,75,Released
RES0400,Employee 400,Tester,Finance,PRJ065,75,No,Permanent,24-Jun-24,12,SAP,Oracle,PMP,UK,M Patel,118.00,115069.00,79,Released
